/usr/lib/python2.7/site-packages/ce[2018-07-27 13:27:53,288: INFO/MainProcess] beat: Starting...
[2018-07-27 13:27:53,288: INFO/MainProcess] Writing entries (0)...
[2018-07-27 13:27:53,378: INFO/MainProcess] Scheduler: Sending due task scan (switch.tasks.scan)
[2018-07-27 13:27:53,384: INFO/MainProcess] Writing entries (1)...
[2018-07-27 13:27:53,415: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:27:53,419: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:27:53,422: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:27:53,424: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:27:53,425: INFO/MainProcess] Scheduler: Sending due task Check Info (switch.tasks.get_Info_snmp)
[2018-07-27 13:27:53,427: INFO/MainProcess] Scheduler: Sending due task backup (switch.tasks.command_backup)
[2018-07-27 13:27:53,429: INFO/MainProcess] Scheduler: Sending due task Get name (switch.tasks.get_Name)
[2018-07-27 13:28:29,636: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:28:53,420: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:28:53,422: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:28:53,424: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:28:53,426: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:29:29,639: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:29:53,421: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:29:53,424: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:29:53,426: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:29:53,428: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:30:29,641: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:30:53,416: INFO/MainProcess] Writing entries (8)...
[2018-07-27 13:30:53,448: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:30:53,449: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:30:53,451: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:30:53,453: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:31:29,643: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:31:53,449: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:31:53,451: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:31:53,453: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:31:53,454: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:32:29,646: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:32:53,450: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:32:53,452: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:32:53,454: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:32:53,455: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:33:29,647: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:33:53,466: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:33:53,471: INFO/MainProcess] Writing entries (5)...
[2018-07-27 13:33:53,573: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:33:53,575: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:33:53,577: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:34:29,652: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:34:53,468: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:34:53,575: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:34:53,578: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:34:53,580: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:35:29,653: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:35:53,471: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:35:53,576: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:35:53,581: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:35:53,583: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:36:29,654: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:36:53,472: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:36:53,578: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:36:53,579: INFO/MainProcess] Writing entries (5)...
[2018-07-27 13:36:53,640: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:36:53,641: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:37:29,656: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:37:53,473: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:37:53,579: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:37:53,641: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:37:53,642: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:38:29,658: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:38:53,474: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:38:53,580: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:38:53,642: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:38:53,643: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:39:29,659: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:39:53,476: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:39:53,583: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:39:53,644: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:39:53,646: INFO/MainProcess] Writing entries (5)...
[2018-07-27 13:39:53,698: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
[2018-07-27 13:40:29,661: INFO/MainProcess] Scheduler: Sending due task Check name (switch.tasks.check_standard)
[2018-07-27 13:40:53,478: INFO/MainProcess] Scheduler: Sending due task ping (switch.tasks.ping_IPAddress)
[2018-07-27 13:40:53,584: INFO/MainProcess] Scheduler: Sending due task get brand (switch.tasks.save_brand)
[2018-07-27 13:40:53,646: INFO/MainProcess] Scheduler: Sending due task get data (switch.tasks.save_data)
[2018-07-27 13:40:53,701: INFO/MainProcess] Scheduler: Sending due task abnomal (switch.tasks.gather_abnormal)
